name,description,Type,Rarity,Attunement,Properties
Amber Spell Gem,"Amber Spell Gem Wondrous item, very rare (attunement optional) A spell gem can contain one spell from any class’s spell list. You become aware of the spell when you learn the gem’s properties. While holding the gem, you can cast the spell from it as an action if you know the spell or if the spell is on your class’s spell list. Doing so doesn’t require any components and doesn’t require attunement. The spell then disappears from the gem. If the spell is of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the gem with no other effect. This spell gem's maximum level spell it can store is 4th level. The stored spell’s saving throw DC is 15 and its attack bonus is +9. You can imbue the gem with a spell if you’re attuned to it and it’s empty. To do so, you cast the spell while holding the gem. The spell is stored in the gem instead of having any effect. Casting the spell must require either 1 action or 1 minute or longer, and the spell’s level must be no higher than the gem’s maximum. If the spell belongs to the school of abjuration and requires material components that are consumed, you must provide them, but they can be worth half as much as normal. Once imbued with a spell, the gem can’t be imbued again until the next dawn. Deep gnomes created these magic gemstones and keep the creation process a secret.",Wondrous item,Very rare,attunement optional,
Amethyst Lodestone,"Amethyst Lodestone Wondrous item, very rare (requires attunement) This fist-sized chunk of amethyst is infused with an amethyst dragon's ability to bend gravitational forces. While you are carrying the lodestone, you have advantage on Strength saving throws. The lodestone has 6 charges for the following properties, which you can use while you are holding the stone. The stone regains 1d6 expended charges daily at dawn. Flight. As a bonus action, you can expend 1 charge to gain the power of flight for 10 minutes. For the duration, you gain a flying speed equal to your walking speed, and you can hover. Gravitational Thrust. As an action, you can expend 1 charge to focus gravity around a creature you can see within 60 feet of you. The target must succeed on a DC 18 Strength saving throw or be pushed up to 20 feet in a direction of your choice. Reverse Gravity. As an action, you can expend 3 charges to cast reverse gravity from the stone (save DC 18).",Wondrous item,very rare,requires attunement,
Ammunition +1 (Template),"Weapon (Any Ammunition), Uncommon You have a +1 bonus to attack rolls and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity. Roll20 Note: This item is not supported for drag and drop.",Ammunition,No,,
Ammunition +2 (Template),"Weapon (Any Ammunition), Rare You have a +2 bonus to attack rolls and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity. Roll20 Note: This item is not supported for drag and drop.",Ammunition,No,,
Ammunition +3 (Template),"Weapon (Any Ammunition), Very Rare You have a +3 bonus to attack rolls and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity. Roll20 Note: This item is not supported for drag and drop.",Ammunition,No,,
Ammunition of Slaying (Template),"Weapon (Any Ammunition), Very Rare This magic ammunition is meant to slay creatures of a particular type, which the DM chooses or determines randomly by rolling on the table below. If a creature of that type takes damage from the ammunition, the creature makes a DC 17 Constitution saving throw, taking an extra 6d10 Force damage on a failed save or half as much extra damage on a successful one. After dealing its extra damage to a creature, the ammunition becomes nonmagical. 1d100 Creature Type 01–10 Aberrations 11–15 Beasts 16–20 Celestials 21–25 Constructs 26–35 Dragons 36–45 Elementals 46–50 Humanoids 51–60 Fey 61–70 Fiends 71–75 Giants 76–80 Monstrosities 81–85 Oozes 86–90 Plants 91–00 Undead Roll20 Note: This item is not supported for drag and drop.",Ammunition,No,,Ammunition
Amulet,"Amulet Adventuring gear (holy symbol) Holy Symbol : A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. Weight : 1",Adventuring Gear,,,
Amulet Holy Symbol,Amulet Holy Symbol Adventuring Gear Focus Usage Cost Weight Holy Symbols (Clerics and Paladins) Amulet Held or worn 5 gp 1 lb,Adventuring Gear,,,
Amulet of Appearance,"Wondrous item, rare (requires attunement) Your armor, weapons, and other equipment always shine as if just polished. Even if you’re wounded, your wounds do not appear to others. You’re immune to the frightened and poisoned conditions, as these would otherwise ruin your elegant appearance. However, whenever you would otherwise have been affected by one of these conditions, a random non-evil Humanoid on the Material Plane whom you have previously met gets the condition instead. You know this.",Wondrous item,rare,requires attunement,
Amulet of Betrayal,"Wondrous item, very rare (requires attunement) You can use a bonus action to move one of the following conditions from yourself to an ally within 60 feet of you: blinded, deafened, frightened, poisoned, stunned, exhaustion. When transferring exhaustion, move all your exhaustion levels. If the chosen ally is immune to a transferred condition, the transfer fails.",Wondrous item,very rare,requires attunement,
Amulet of Duplicity,"Wondrous item, very rare (requires attunement) When you die, you’re transported to an extradimensional space where you’re stabilized at 0 hit points and kept in that state. The amulet creates a perfect copy of your corpse and places it where you were just before you died, but without any of your worn or carried items. After 24 hours, you regain 1 hit point and are returned to the location of your near-death. Everything about you is the same, except that your facial features are entirely different from before. Only a Wish spell can restore your true identity. Until then, you have disadvantage on any Charisma (Persuasion) checks to attempt to reveal who you really are. Curse. An Identify spell or similar reveals only that the amulet can prevent death. Once you attune to the amulet, you can’t describe its ability to any other creature, and if unattuned, you immediately forget what the amulet does. A Remove Curse spell reveals the details of the curse but does not remove it from the amulet.",Wondrous item,very rare,requires attunement,
Amulet of Health,"Amulet Of Health Wondrous item, rare ( requires attunement ) Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is 19 or higher without it.",Wondrous item,rare,requires attunement,
Amulet of Proof against Detection and Location,"Wondrous Item, Uncommon (Requires Attunement) While wearing this amulet, you can’t be targeted by Divination spells or perceived through magical scrying sensors unless you allow it.",Wondrous Item,No,,
Amulet of Proof Against Detection and Location,"Amulet Of Proof Against Detection And Location Wondrous item, uncommon ( requires attunement ) While wearing this amulet, you are hidden from divination magic. You can’t be targeted by such magic or perceived through magical scrying sensors.",Wondrous item,uncommon,requires attunement,
