name,type,subtype,rarity,cost,weight,description,attunement
Animated Shield,Armor,Shield,Very Rare (Requires Attunement),"5,001 - 50,000 gp",6," Description While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are incapacitated or die, at which point the shield falls to the ground or into your hand if you have one free. Shield Notes A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time. ",TRUE
Antimatter Rifle,Weapon,Futuristic Firearms - Martial Ranged Weapons,,-,10, The rifle is powered by a special type of ammunition called energy cells. An energy cell contains enough power for all the shots its firearm can make. Reload. The rifle can make 2 shots after which the character must reload it using an action or a bonus action (the character's choice). ,FALSE
Antitoxin (Vial),Adventuring Gear,Standard,,50 gp,0.02, A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs. ,FALSE
Apparatus of Kwalish,Wondrous Item,,Legendary,"50,001 - 100,000 gp",500," Description This item first appears to be a Large sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful DC 20 Intelligence (Investigation) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move either up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster. The apparatus of Kwalish is a Large object with the following statistics: Armor Class: 20 Hit Points: 200 Speed: 30 ft., swim 30 ft. (or 0 ft. for both if the legs and tail aren't extended) Damage Immunities: poison, psychic To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside. The apparatus floats on water. It can also go underwater to a depth of 900 feet. Below that, the vehicle takes 2d6 bludgeoning damage per minute from pressure. A creature in the compartment can use an action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as shown in the Apparatus of Kwalish Levers table. Apparatus of Kwalish Levers Lever Up Down 1 Legs and tail extend, allowing the apparatus to walk and swim. Legs and tail retract, reducing the apparatus's speed to 0 and making it unable to benefit from bonuses to speed. 2 Forward window shutter opens. Forward window shutter closes. 3 Side window shutters open (two per side). Side window shutters close (two per side). 4 Two claws extend from the front sides of the apparatus. The claws retract. 5 Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: 7 (2d6) bludgeoning damage. Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: The target is grappled (escape DC 15). 6 The apparatus walks or swims forward. The apparatus walks or swims backward. 7 The apparatus turns 90 degrees left. The apparatus turns 90 degrees right. 8 Eyelike fixtures emit bright light in a 30-foot radius and dim light for an additional 30 feet. The light turns off. 9 The apparatus sinks as much as 20 feet in liquid. The apparatus rises up to 20 feet in liquid. 10 The rear hatch unseals and opens. The rear hatch closes and seals. ",FALSE
Apparatus of the Crab,Wondrous Item,,Legendary,"200,000 GP",0," Apparatus of the Crab Wondrous Item, Legendary This item first appears to be a sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful DC 20 Intelligence (Investigation) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster. Apparatus of the Crab is a Large object with the following statistics: AC 20; HP 200; Speed 30 ft., Swim 30 ft. (or 0 ft. for both if the legs aren't extended); Immunity to Poison and Psychic damage. To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside. The apparatus floats on water. It can also go underwater to a depth of 900 feet. Below that, the vehicle takes 2d6 Bludgeoning damage each minute from pressure. A creature in the compartment can take a Utilize action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as shown in the Apparatus of Kwalish Levers table. Apparatus of Kwalish Levers Lever Up Down 1 Legs extend, allowing the apparatus to walk and swim. Legs retract, reducing the apparatus's Speed and Swim Speed to 0 and making it unable to benefit from bonuses to speed. 2 Forward window shutter opens. Forward window shutter closes. 3 Side window shutters open (two per side). Side window shutters close (two per side). 4 Two claws extend from the front side of the apparatus. The claws retract. 5 Each extended claw makes the following melee attack: +8 to hit, reach 5 ft. Hit: 7 (2d6) Bludgeoning damage. Each extended claw makes the following melee attack: +8 to hit, reach 5 ft. Hit: The target has the Grappled condition (escape DC 15). 6 The apparatus walks or swims forward provided its legs are extended. The apparatus walks or swims backward provided its legs are extended. 7 The apparatus turns 90 degrees counterclockwise provided its legs are extended. The apparatus turns 90 degrees clockwise provided its legs are extended. 8 Eyelike fixtures emit Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. The light turns off. 9 The apparatus sinks up to 20 feet if it's in liquid. The apparatus rises up to 20 feet if it's in liquid. 10 The rear hatch unseals and opens. The rear hatch closes and seals. ",FALSE
Aquamarine,Treasure,Gemstones (500 Gp),,500 gp,0.02, This gemstone is transparent pale blue-green in color. ,FALSE
"Arcane Grimoire, +1",Wondrous Item,,Uncommon (Requires Attunement By A Wizard),101 - 500 gp,3," Description While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your wizard spells. You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1. Spellbook Notes Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells. ",TRUE
"Arcane Grimoire, +2",Wondrous Item,,Rare (Requires Attunement By A Wizard),"501 - 5,000 gp",3," Description While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your wizard spells. You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1. Spellbook Notes Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells. ",TRUE
"Arcane Grimoire, +3",Wondrous Item,,Very Rare (Requires Attunement By A Wizard),"5,001 - 50,000 gp",3," Description While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your wizard spells. You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1. Spellbook Notes Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells. ",TRUE
Arrow,Adventuring Gear,Ammunition,,5 cp,0.05, ,FALSE
Arrow of Slaying,Weapon,Ammunition,Very Rare,"5,001 - 50,000 gp",0.05," Description An arrow of slaying is a magic weapon meant to slay a particular kind of creature. Some are more focused than others; for example, there are both arrows of dragon slaying and arrows of blue dragon slaying. If a creature belonging to the type, race, or group associated with an arrow of slaying takes damage from the arrow, the creature must make a DC 17 Constitution saving throw, taking an extra 6d10 piercing damage on a failed save, or half as much extra damage on a successful one. Once an arrow of slaying deals its extra damage to a creature, it becomes a nonmagical arrow. Other types of magic ammunition of this kind exist, such as bolts of slaying meant for a crossbow, though arrows are most common. ",FALSE
